id,predicted_price
2591820310,408490.6
7974200820,950607.6
7701450110,1183043.0
9522300010,1784086.5
9510861140,746365.06
1761300310,252349.06
7732410120,878382.0
7010701383,721200.8
291310170,457982.1
4232901990,653829.3
6840701125,704240.7
3971700580,447720.8
4202400078,252226.4
6064800090,353419.22
2626119028,229504.0
3303980660,1176264.5
862000020,996572.0
2386000070,979652.1
1138000450,395905.5
1775800420,490725.47
2291401425,442427.8
2025770560,909997.2
3525069037,681618.1
9324800450,609579.9
8080400136,637753.8
8651540040,564621.75
9407001790,273836.94
1773101530,227857.39
9432900250,361623.97
1794500695,622744.75
2220069003,330320.47
923000120,497211.53
5728000060,599638.4
16000200,259253.31
1926059094,480751.75
6672900220,1073104.0
3629860060,897175.9
1822069109,425696.66
6675500105,414876.34
249000180,2029164.0
226059065,551618.1
396100110,255640.1
9264450460,357098.0
7853361210,400025.16
9474700020,323708.8
421000455,243148.05
3755200220,423867.53
7960100075,495696.84
9477100490,415021.94
9138100350,810389.06
1624049275,449065.4
2770606890,546422.0
1157200189,477507.66
2770601800,556991.5
9301300805,607732.3
2325069032,1281545.2
1021079099,394459.53
7215730040,789617.0
1853200080,523860.56
3224600340,750417.56
3222049120,433759.25
2113700025,285185.44
7893207925,213074.42
3586501085,643941.8
8024200010,426590.22
7116500705,178025.95
1598600209,353721.12
7204200025,1038235.8
4206901505,645163.94
2937300440,995365.06
7205000180,318660.44
8718500665,379499.9
5318101765,1031627.6
4122700020,1035143.7
8078700020,514698.12
3303980680,1060153.8
8924100372,1259661.2
2781270210,212429.69
519000043,592701.6
3225069301,1717174.5
151000075,849481.6
2297400020,479616.22
6617500085,642679.5
104510180,257138.19
3528900060,1048153.94
3345100286,503288.94
1226039130,440637.38
8712100720,835775.4
3037200010,447060.5
3626039268,468657.0
104510230,258367.25
5112800060,413888.03
6072400280,620099.4
5317100570,1317806.0
9528102993,579538.0
2919201095,532355.3
6181400920,257412.78
185000161,288000.5
8691400010,795324.75
3345700165,564059.2
6151800486,262176.0
4340000080,1394575.5
